"STATE/UT,",,,,,,,SEATS,,,VOTES,% OF,,
NUMBER OF,PAR,TY,PARTY,,,,CONT- SE,ATS FD,IN P,OLLED,VOTES,,
CONSTITUENCIES,T,YPE,,,,,ESTED W,ON SE,ATS BY,PARTY,POLLED,,
,,N,INC(U),,,,18,0,18,247433,1.20%,,
,,,,,,,,,,,,,
,,N,JNP,,,,35,0,33,931154,4.53%,,
,,,,,,,,,,,,,
,,N,JNP(S),,,,17,0,17,104071,0.51%,,
,,,,,,,,,,,,,
,,S,FBL,,,,4,3,0,936012,4.56%,,
,,,,,,,,,,,,,
,,S,MUL,,,,3,0,3,21272,0.10%,,
,,,,,,,,,,,,,
,,S,RSP,,,,4,4,0,1071623,5.22%,,
,,,,,,,,,,,,,
,,U,BSP,,,,1,0,1,576,0.00%,,
,,,,,,,,,,,,,
,,U,JKD,,,,4,0,4,50192,0.24%,,
,,,,,,,,,,,,,
,,U,RPI,,,,4,0,4,16061,0.08%,,
,,,,,,,,,,,,,
,,U,SUC,,,,11,0,11,255503,1.24%,,
,,,,,,,,,,,,,
,,Z,IND,,,,109,0,109,331448,1.61%,,
,,,,,,,,,,,,,
"State/UT total (Contestants,",Seats,"Won, F","D in Seats,",Valid,Votes),:,285,42,200,20544642,,,
,,,,,,,,,,,,,
MAN & NICOBAR,,1,,,,,,,,,,,
ISLANDS,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,N,CPM,,,,1,0,0,16014,20.30%,,
,,,,,,,,,,,,,
,,N,INC(I),,,,1,1,0,42046,53.29%,,
,,,,,,,,,,,,,
,,N,JNP,,,,1,0,1,2034,2.58%,,
,,,,,,,,,,,,,
,,N,JNP(S),,,,1,0,1,717,0.91%,,
,,,,,,,,,,,,,
,,Z,IND,,,,6,0,5,18088,22.93%,,
,,,,,,,,,,,,,
"State/UT total (Contestants,",Seats,"Won, F","D in Seats,",Valid,Votes),:,10,1,7,78899,,,
,,,,,,,,,,,,,
CHANDIGARH,,1,,,,,,,,,,,
,,,,,,,,,,,,,
