,,Election Co,mmission,,of India -,General E,"lections, 1951 (",1st,LOK S,ABH,A),,,,,
,,,,,,,,,,,,,,,,
,,VOTE,S PO,,LLE,D IN,STATE,S,BY,PA,R,TIES,,,,
,,,,,,,,,,,,,,,,
,,,,,,,SEATS,,,,V,OTES %,OF,,,
,,"STATE/UT, NO",OF,,,,CONT- SEA,TS,FD,IN,P,OLLED V,OTES,,,
,,CONSTITUENC,IES,P,ARTY,,ESTED WO,N,SEA,TS,BY,PARTY P,OLLED,,,
,,,,,,,,,,,,,,,,
,,Rajasth,an 1,8,(,Single Me,mber,:,16 Double M,ember,:,2,),,,
,,,,,,,,,,,,,,,,
,,,,,,BJS,,,4,1,,2,,,107089,3.04%
,,,,,,,,,,,,,,,,
,,,,,,CPI,,,1,0,,1,,,5490,0.16%
,,,,,,,,,,,,,,,,
,,,,,,HMS,,,1,0,,0,,,35338,1.00%
,,,,,,,,,,,,,,,,
,,,,,,INC,,,20,9,,0,,,1460971,41.42%
,,,,,,,,,,,,,,,,
,,,,,,KLP,,,7,1,,3,,,356630,10.11%
,,,,,,,,,,,,,,,,
,,,,,,KMPP,,,1,0,,1,,,31443,0.89%
,,,,,,,,,,,,,,,,
,,,,,,RRP,,,7,3,,1,,,331760,9.41%
,,,,,,,,,,,,,,,,
,,,,,,SCF,,,1,0,,1,,,44171,1.25%
,,,,,,,,,,,,,,,,
,,,,,,SP,,,6,0,,5,,,119287,3.38%
,,,,,,,,,,,,,,,,
,,,,,,KJSP,,,1,0,,1,,,6390,0.18%
,,,,,,,,,,,,,,,,
ptVotesPo,lledin,States/UTsbyPa,rties -,Page 4,o,f 7),,,,,,,,,64,
GENERA,L ELECTIONS -,"INDIA,",1951,,,,,VOT,ES POL,L,ED IN,,ST,ATES BY PA,RTIES,
,,,,,,,,,,,,,,,,
,,,,,,,,SEATS,,,,,V,OTES %,OF,
,STATE/U,"T, NO",OF,,,,,CONT- SEA,TS F,D,IN,,PO,LLED V,OTES,
,CONSTIT,UENCI,ES,P,ARTY,,,ESTED WO,N SE,A,TS,,BY,PARTY P,OLLED,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,1,,,2,,,3 4,,,5,,,6,7,
,,,,,,,,,,,,,,,,
,Rajas,than 1,8,(,Single,Member,:,16 Double M,ember,:,2,),,,,
,,,,,,,,,,,,,,,,
,,,,,IND,,,25,6,,14,,,1028388,29.16%,
