Election Co,mmissi,on of India,- General Election,"s, 1991(10th LO",K SABHA),,,,,,
,,,,,,,,,,,
VOTES PO,LL,ED I,N STAT,ES BY,PART,IES,,,,,
,,,,,,,,,,,
"STATE/UT,",,,,SEATS,,,VOTES,% OF,,,
NUMBER OF PAR,TY,PARTY,,CONT- SE,ATS FD,IN P,OLLED,VOTES,,,
CONSTITUENCIES T,YPE,,,ESTED W,ON SE,ATS BY,PARTY,POLLED,,,
,,,,,,,,,,,
,U,BBP,1,0,1,329,0.00%,,,,
,,,,,,,,,,,
,U,BKUS,2,0,2,4772,0.03%,,,,
,,,,,,,,,,,
,U,CKN,1,0,1,383,0.00%,,,,
,,,,,,,,,,,
,U,DDP,4,0,4,3551,0.02%,,,,
,,,,,,,,,,,
,U,JNP,1,0,1,213,0.00%,,,,
,,,,,,,,,,,
,U,KDP,1,0,1,164,0.00%,,,,
,,,,,,,,,,,
,U,KNP,2,0,2,576,0.00%,,,,
,,,,,,,,,,,
,U,KRS,10,0,8,490275,3.18%,,,,
,,,,,,,,,,,
,U,MSD,5,0,5,10048,0.07%,,,,
,,,,,,,,,,,
,U,PBI,5,0,5,4814,0.03%,,,,
,,,,,,,,,,,
,U,RPK,1,0,1,1284,0.01%,,,,
,,,,,,,,,,,
,U,SUP,2,0,2,4489,0.03%,,,,
,,,,,,,,,,,
,Z,IND,266,0,266,427640,2.78%,,,,
,,,,,,,,,,,
"State/UT total (Contestants, Seats","Won, F","D in Seats, Valid Votes) :",391,28,317,15402920,,,,,
,,,,,,,,,,,
KERALA,20,,,,,,,,,,
,,,,,,,,,,,
,N,BJP,19,0,19,656945,4.61%,,,,
,,,,,,,,,,,
,N,CPI,4,0,0,1156798,8.12%,,,,
,,,,,,,,,,,
,N,CPM,9,3,0,2952043,20.71%,,,,
,,,,,,,,,,,
,N,ICS(SCS),1,1,0,395501,2.77%,,,,
,,,,,,,,,,,
,N,INC,16,13,0,5526187,38.77%,,,,
,,,,,,,,,,,
,N,JD,2,0,0,643366,4.51%,,,,
,,,,,,,,,,,
,N,JP,6,0,6,17883,0.13%,,,,
,,,,,,,,,,,
,N,LKD,3,0,3,3024,0.02%,,,,
,,,,,,,,,,,
,S,BSP,8,0,8,23475,0.16%,,,,
,,,,,,,,,,,
,S,KCM,1,1,0,384255,2.70%,,,,
,,,,,,,,,,,
,S,KEC,1,0,0,319933,2.24%,,,,
,,,,,,,,,,,
,S,MUL,2,2,0,715222,5.02%,,,,
,,,,,,,,,,,
,S,RPI,2,0,2,5840,0.04%,,,,
,,,,,,,,,,,
,S,RSP,1,0,0,342796,2.41%,,,,
,,,,,,,,,,,
,U,DDP,3,0,3,3268,0.02%,,,,
,,,,,,,,,,,
,U,DKP,1,0,1,4508,0.03%,,,,
,,,,,,,,,,,
,Z,IND,100,0,97,1102111,7.73%,,,,
,,,,,,,,,,,
"State/UT total (Contestants, Seats","Won, F","D in Seats, Valid Votes) :",179,20,139,14253155,,,,,
"ELECTIONS - INDIA, 1991",,,VOT,ES,POLLED IN ST,ATES BY,PARTIES,,,,
,,,,,,,,,,,
"STATE/UT,",,,SEATS,,,VOTES,% OF,,,,
NUMBER OF PAR,TY,PARTY,CONT- SE,ATS,FD IN P,OLLED,VOTES,,,,
CONSTITUENCIES TY,PE,,ESTED W,ON,SEATS BY,PARTY,POLLED,,,,
,,,,,,,,,,,
1,2,3,4,5,6,7,8,,,,
,,,,,,,,,,,
ADHYA PRADESH 4,0,,,,,,,,,,
,,,,,,,,,,,
,N,BJP,40,12,0,6859335,41.88%,,,,
,,,,,,,,,,,
,N,CPI,3,0,3,69161,0.42%,,,,
,,,,,,,,,,,
,N,CPM,1,0,1,2486,0.02%,,,,
,,,,,,,,,,,
,N,ICS(SCS),2,0,2,2786,0.02%,,,,
,,,,,,,,,,,
,N,INC,40,27,0,7425644,45.34%,,,,
,,,,,,,,,,,
,N,JD,37,0,36,695158,4.24%,,,,
,,,,,,,,,,,
,N,JP,33,0,33,100897,0.62%,,,,
,,,,,,,,,,,
,N,LKD,6,0,6,7607,0.05%,,,,
,,,,,,,,,,,
,S,BSP,21,1,17,580030,3.54%,,,,
,,,,,,,,,,,
,S,FBL,1,0,1,1600,0.01%,,,,
,,,,,,,,,,,
,S,RSP,3,0,3,4171,0.03%,,,,
,,,,,,,,,,,
,U,BDP,1,0,1,1311,0.01%,,,,
,,,,,,,,,,,
,U,BJS,2,0,2,1145,0.01%,,,,
,,,,,,,,,,,
,U,BKUS,4,0,4,4853,0.03%,,,,
,,,,,,,,,,,
,U,DDP,37,0,37,47955,0.29%,,,,
,,,,,,,,,,,
,U,DPI,1,0,1,359,0.00%,,,,
,,,,,,,,,,,
,U,GNP,1,0,1,1954,0.01%,,,,
,,,,,,,,,,,
,U,HMS,6,0,6,7012,0.04%,,,,
,,,,,,,,,,,
,U,JKP,1,0,1,12744,0.08%,,,,
,,,,,,,,,,,
,U,MSD,1,0,1,967,0.01%,,,,
,,,,,,,,,,,
,U,PVP,3,0,3,6897,0.04%,,,,
,,,,,,,,,,,
,U,RPK,1,0,1,3186,0.02%,,,,
,,,,,,,,,,,
,Z,IND,438,0,438,541209,3.30%,,,,
,,,,,,,,,,,
"State/UT total (Contestants, Seats W","on, F","D in Seats, Valid Votes) :",683,40,598,16378467,,,,,
,,,,,,,,,,,
MAHARASHTRA 4,8,,,,,,,,,,
,,,,,,,,,,,
,N,BJP,31,5,6,4706765,20.20%,,,,
,,,,,,,,,,,
,N,CPI,3,0,1,230499,0.99%,,,,
,,,,,,,,,,,
,N,CPM,2,1,0,299320,1.28%,,,,
,,,,,,,,,,,
,N,ICS(SCS),7,0,7,14434,0.06%,,,,
,,,,,,,,,,,
,N,INC,48,38,0,11280003,48.40%,,,,
,,,,,,,,,,,
,N,JD,33,0,19,2456784,10.54%,,,,
,,,,,,,,,,,
,N,JP,23,0,22,166457,0.71%,,,,
,,,,,,,,,,,
,N,LKD,9,0,9,7499,0.03%,,,,
,,,,,,,,,,,
,S,BSP,30,0,30,112327,0.48%,,,,
,,,,,,,,,,,
,S,PWP,6,0,5,295402,1.27%,,,,
,,,,,,,,,,,
,S,RPI,1,0,1,14794,0.06%,,,,
,,,,,,,,,,,
,S,SHS,17,4,0,2201391,9.45%,,,,
,,,,,,,,,,,
,U,AHF,1,0,1,255,0.00%,,,,
,,,,,,,,,,,
,U,BKUS,2,0,2,5107,0.02%,,,,
,,,,,,,,,,,
,U,BRP,6,0,4,323509,1.39%,,,,
,,,,,,,,,,,
,U,DDP,47,0,47,78974,0.34%,,,,
"ELECTIONS - INDIA, 1",991,,,,,,VOT,ES,POLLED IN ST,ATES BY,PARTIES
,,,,,,,,,,,
"STATE/UT,",,,,,,,SEATS,,,VOTES,% OF
NUMBER OF,PAR,TY,PARTY,,,,CONT- SE,ATS,FD IN P,OLLED,VOTES
CONSTITUENCIES,T,YPE,,,,,ESTED W,ON,SEATS BY,PARTY,POLLED
,,,,,,,,,,,
1,,2,3,,,,4,5,6,7,8
,,,,,,,,,,,
MAHARASHTRA,,48,,,,,,,,,
,,,,,,,,,,,
,,U,DMM,,,,1,0,1,1000,0.00%
,,,,,,,,,,,
,,U,DPP,,,,10,0,10,11967,0.05%
,,,,,,,,,,,
,,U,GNP,,,,1,0,1,1651,0.01%
,,,,,,,,,,,
,,U,HJP,,,,1,0,1,86,0.00%
,,,,,,,,,,,
,,U,HMS,,,,2,0,2,1604,0.01%
,,,,,,,,,,,
,,U,JNP,,,,4,0,4,8757,0.04%
,,,,,,,,,,,
,,U,MSD,,,,1,0,1,4856,0.02%
,,,,,,,,,,,
,,U,NP,,,,1,0,1,768,0.00%
,,,,,,,,,,,
,,U,RPI(KM),,,,1,0,1,1300,0.01%
,,,,,,,,,,,
,,U,RPK,,,,3,0,3,82453,0.35%
,,,,,,,,,,,
,,U,RPPI,,,,3,0,3,4967,0.02%
,,,,,,,,,,,
,,U,RSD,,,,3,0,3,8825,0.04%
,,,,,,,,,,,
,,U,SRS,,,,2,0,2,1040,0.00%
,,,,,,,,,,,
,,U,SSD,,,,1,0,1,1063,0.00%
,,,,,,,,,,,
,,U,VBP,,,,1,0,1,56,0.00%
,,,,,,,,,,,
,,U,VPP,,,,4,0,4,5597,0.02%
,,,,,,,,,,,
,,Z,IND,,,,557,0,555,974914,4.18%
,,,,,,,,,,,
"State/UT total (Contestants,",Seats,"Won, F","D in Seats,",Valid,Votes),:,862,48,748,23304424,
,,,,,,,,,,,
MANIPUR,,2,,,,,,,,,
,,,,,,,,,,,
,,N,BJP,,,,2,0,2,68594,8.10%
,,,,,,,,,,,
,,N,ICS(SCS),,,,1,0,0,92583,10.93%
,,,,,,,,,,,
,,N,INC,,,,2,1,0,325023,38.38%
,,,,,,,,,,,
,,N,JD,,,,1,0,0,157059,18.55%
,,,,,,,,,,,
,,N,JP,,,,2,0,2,5890,0.70%
,,,,,,,,,,,
,,S,MRP,,,,1,1,0,169692,20.04%
,,,,,,,,,,,
,,S,NPP,,,,2,0,2,1572,0.19%
,,,,,,,,,,,
,,Z,IND,,,,9,0,9,26394,3.12%
,,,,,,,,,,,
"State/UT total (Contestants,",Seats,"Won, F","D in Seats,",Valid,Votes),:,20,2,15,846807,
,,,,,,,,,,,
MEGHALAYA,,2,,,,,,,,,
,,,,,,,,,,,
,,N,BJP,,,,2,0,2,34265,6.89%
,,,,,,,,,,,
,,N,CPI,,,,2,0,2,6196,1.25%
,,,,,,,,,,,
,,N,INC,,,,2,2,0,281562,56.62%
,,,,,,,,,,,
,,Z,IND,,,,6,0,4,175287,35.25%
,,,,,,,,,,,
"State/UT total (Contestants,",Seats,"Won, F","D in Seats,",Valid,Votes),:,12,2,8,497310,
,,,,,,,,,,,
MIZORAM,,1,,,,,,,,,
,,,,,,,,,,,
,,N,INC,,,,1,1,0,91612,38.08%
,,,,,,,,,,,
,,N,JD,,,,1,0,0,56491,23.48%
,,,,,,,,,,,
,,S,MNF,,,,1,0,0,82019,34.09%
,,,,,,,,,,,
,,Z,IND,,,,4,0,4,10473,4.35%
,,,,,,,,,,,
"State/UT total (Contestants,",Seats,"Won, F","D in Seats,",Valid,Votes),:,7,1,4,240595,
"ELECTIONS - INDIA, 1991",,,VOT,ES,POLLED IN ST,ATES BY,PARTIES,,,,
,,,,,,,,,,,
