"STATE/UT,",,,,,,,SEATS,,,VOTES,% OF
NUMBER OF,PAR,TY,PARTY,,,,CONT- SE,ATS FD,IN P,OLLED,VOTES
CONSTITUENCIES,T,YPE,,,,,ESTED W,ON SE,ATS BY,PARTY,POLLED
,,,,,,,,,,,
,,N,CPM,,,,2,2,0,463362,50.47%
,,,,,,,,,,,
,,N,INC,,,,2,0,0,418779,45.61%
,,,,,,,,,,,
,,Z,IND,,,,5,0,5,28949,3.15%
,,,,,,,,,,,
"State/UT total (Contestants,",Seats,"Won, F","D in Seats,",Valid,Votes),:,10,2,6,918160,
,,,,,,,,,,,
UTTAR PRADESH,,85,,,,,,,,,
,,,,,,,,,,,
,,N,BJP,,,,50,0,41,2186430,6.42%
,,,,,,,,,,,
,,N,CPI,,,,14,0,11,574395,1.69%
,,,,,,,,,,,
,,N,ICS,,,,1,0,1,997,0.00%
,,,,,,,,,,,
,,N,INC,,,,85,83,0,17391831,51.03%
,,,,,,,,,,,
,,N,JNP,,,,45,0,41,1223311,3.59%
,,,,,,,,,,,
,,N,LKD,,,,74,2,17,7375612,21.64%
,,,,,,,,,,,
,,S,FBL,,,,1,0,1,2720,0.01%
,,,,,,,,,,,
,,S,ICJ,,,,10,0,8,508984,1.49%
,,,,,,,,,,,
,,S,MUL,,,,1,0,1,21947,0.06%
"ELECTIONS - INDIA, 1",984,,,,,,VOT,ES,POLLED IN ST,ATES BY,PARTIES
,,,,,,,,,,,
"STATE/UT,",,,,,,,SEATS,,,VOTES,% OF
NUMBER OF,PAR,TY,PARTY,,,,CONT- SE,ATS,FD IN P,OLLED,VOTES
CONSTITUENCIES,T,YPE,,,,,ESTED W,ON,SEATS BY,PARTY,POLLED
,,,,,,,,,,,
1,,2,3,,,,4,5,6,7,8
,,,,,,,,,,,
UTTAR PRADESH,,85,,,,,,,,,
,,,,,,,,,,,
,,U,DDP,,,,73,0,73,422808,1.24%
,,,,,,,,,,,
,,Z,IND,,,,888,0,879,4373126,12.83%
,,,,,,,,,,,
"State/UT total (Contestants,",Seats,"Won, F","D in Seats,",Valid,Votes),:,1242,85,1073,34082161,
,,,,,,,,,,,
WEST BENGAL,,42,,,,,,,,,
,,,,,,,,,,,
,,N,BJP,,,,9,0,9,101165,0.40%
,,,,,,,,,,,
,,N,CPI,,,,3,3,0,955649,3.76%
,,,,,,,,,,,
,,N,CPM,,,,31,18,0,9119546,35.92%
,,,,,,,,,,,
,,N,ICS,,,,3,0,3,12807,0.05%
,,,,,,,,,,,
,,N,INC,,,,42,16,0,12227863,48.16%
,,,,,,,,,,,
,,N,JNP,,,,1,0,1,5488,0.02%
,,,,,,,,,,,
,,N,LKD,,,,1,0,1,2785,0.01%
,,,,,,,,,,,
,,S,FBL,,,,4,2,0,1047752,4.13%
,,,,,,,,,,,
,,S,MUL,,,,10,0,10,61120,0.24%
,,,,,,,,,,,
,,S,RSP,,,,4,3,0,1173869,4.62%
,,,,,,,,,,,
,,U,SUC,,,,10,0,10,196767,0.77%
,,,,,,,,,,,
,,Z,IND,,,,130,0,130,486571,1.92%
,,,,,,,,,,,
"State/UT total (Contestants,",Seats,"Won, F","D in Seats,",Valid,Votes),:,248,42,164,25391382,
,,,,,,,,,,,
MAN & NICOBAR,,1,,,,,,,,,
ISLANDS,,,,,,,,,,,
,,,,,,,,,,,
