Election,Commission,of,India,- General Elections,", 1989(9th LOK",SABHA),,,,,
,,,,,,,,,,,
VOTES P,OLLE,,D I,N STAT,ES BY,PART,IES,,,,
,,,,,,,,,,,
"STATE/UT,",,,,,SEATS,,,VOTES,% OF,,
NUMBER OF P,ARTY P,A,RTY,,CONT- SE,ATS FD,IN P,OLLED,VOTES,,
CONSTITUENCIES,TYPE,,,,ESTED W,ON SEA,TS BY,PARTY,POLLED,,
,,,,,,,,,,,
PUNJAB,13,,,,,,,,,,
,,,,,,,,,,,
,N,INC,13,2,2,2103712,26.49%,,,,
,,,,,,,,,,,
,N,JD,4,1,2,434031,5.46%,,,,
,,,,,,,,,,,
,N,JNP (JP),3,0,3,9512,0.12%,,,,
,,,,,,,,,,,
,N,LKD (B),3,0,3,3154,0.04%,,,,
,,,,,,,,,,,
,S,SAD,4,0,4,100570,1.27%,,,,
,,,,,,,,,,,
,S,SAD(B),9,0,8,427609,5.38%,,,,
,,,,,,,,,,,
,U,BJMD,5,0,5,2368,0.03%,,,,
,,,,,,,,,,,
,U,BSP,12,1,9,684763,8.62%,,,,
,,,,,,,,,,,
,U,CPI(ML),1,0,1,6640,0.08%,,,,
,,,,,,,,,,,
,U,DDP,6,0,6,6284,0.08%,,,,
,,,,,,,,,,,
,U,IGC,3,0,3,7635,0.10%,,,,
,,,,,,,,,,,
,U,ILP,1,0,1,406,0.01%,,,,
,,,,,,,,,,,
,U,PKD,1,0,1,493,0.01%,,,,
,,,,,,,,,,,
,U,PNF,1,0,1,314,0.00%,,,,
,,,,,,,,,,,
,U,PPP,1,0,1,1374,0.02%,,,,
,,,,,,,,,,,
,U,RPI,2,0,2,16308,0.21%,,,,
,,,,,,,,,,,
,U,SAD(M),8,6,1,2318739,29.19%,,,,
,,,,,,,,,,,
,Z,IND,139,3,136,1009961,12.72%,,,,
,,,,,,,,,,,
"State/UT total (Contestants, Seats","Won, F","D in Seats, Valid Votes) :",227,13,195,7942827,,,,,
,,,,,,,,,,,
RAJASTHAN,25,,,,,,,,,,
,,,,,,,,,,,
,N,BJP,17,13,4,4237205,29.64%,,,,
,,,,,,,,,,,
,N,CPI,1,0,1,21837,0.15%,,,,
,,,,,,,,,,,
,N,CPM,1,1,0,296719,2.08%,,,,
,,,,,,,,,,,
,N,INC,25,0,0,5285868,36.98%,,,,
,,,,,,,,,,,
,N,JD,13,11,2,3670864,25.68%,,,,
,,,,,,,,,,,
,N,JNP (JP),6,0,6,56385,0.39%,,,,
,,,,,,,,,,,
,N,LKD (B),2,0,2,2340,0.02%,,,,
,,,,,,,,,,,
,S,MUL,3,0,3,10436,0.07%,,,,
,,,,,,,,,,,
,U,BJS,1,0,1,2203,0.02%,,,,
,,,,,,,,,,,
,U,BSP,10,0,10,43119,0.30%,,,,
,,,,,,,,,,,
,U,DDP,24,0,24,160016,1.12%,,,,
,,,,,,,,,,,
,U,IML,1,0,1,687,0.00%,,,,
,,,,,,,,,,,
,U,SRP,1,0,1,1928,0.01%,,,,
,,,,,,,,,,,
,Z,IND,199,0,199,504086,3.53%,,,,
,,,,,,,,,,,
"State/UT total (Contestants, Seats","Won, F","D in Seats, Valid Votes) :",304,25,254,14293693,,,,,
,,,,,,,,,,,
SIKKIM,1,,,,,,,,,,
,,,,,,,,,,,
,N,INC,1,0,0,28822,21.56%,,,,
,,,,,,,,,,,
,S,SSP,1,1,0,91608,68.52%,,,,
,,,,,,,,,,,
,U,RIS,1,0,1,12858,9.62%,,,,
,,,,,,,,,,,
,Z,IND,1,0,1,411,0.31%,,,,
"ELECTIONS - INDIA, 1",989,,,,,,VOT,ES,POLLED IN ST,ATES BY,PARTIES
,,,,,,,,,,,
"STATE/UT,",,,,,,,SEATS,,,VOTES,% OF
NUMBER OF,PAR,TY,PARTY,,,,CONT- SE,ATS,FD IN P,OLLED,VOTES
CONSTITUENCIES,T,YPE,,,,,ESTED W,ON,SEATS BY,PARTY,POLLED
,,,,,,,,,,,
1,,2,3,,,,4,5,6,7,8
,,,,,,,,,,,
SIKKIM,,1,,,,,,,,,
,,,,,,,,,,,
"State/UT total (Contestants,",Seats,"Won, F","D in Seats,",Valid,Votes),:,4,1,2,133699,
,,,,,,,,,,,
TAMIL NADU,,39,,,,,,,,,
,,,,,,,,,,,
,,N,BJP,,,,3,0,3,76511,0.29%
,,,,,,,,,,,
,,N,CPI,,,,2,1,0,539316,2.04%
,,,,,,,,,,,
